TF  Mapped Protein ontology term IRI
AP-2alpha	http://purl.obolibrary.org/obo/PR_000016263
AP-2gamma	http://purl.obolibrary.org/obo/PR_000016265
ARID3A	http://purl.obolibrary.org/obo/PR_000004265
ATF1	http://purl.obolibrary.org/obo/PR_000004397
ATF2	http://purl.obolibrary.org/obo/PR_000004398
ATF3	http://purl.obolibrary.org/obo/PR_000004399
Bach1	http://purl.obolibrary.org/obo/PR_000004617
BAF155	http://purl.obolibrary.org/obo/PR_000015263
BAF170	http://purl.obolibrary.org/obo/PR_000015264
BATF	http://purl.obolibrary.org/obo/PR_000004654
BCL11A	http://purl.obolibrary.org/obo/PR_000004690
BCL3	http://purl.obolibrary.org/obo/PR_000004699
BCLAF1	http://purl.obolibrary.org/obo/PR_000004706
BDP1	http://purl.obolibrary.org/obo/PR_000004717
BHLHE4	http://purl.obolibrary.org/obo/PR_000004740
BRCA1	http://purl.obolibrary.org/obo/PR_000004803
BRF1	http://purl.obolibrary.org/obo/PR_000004812
BRF2	http://purl.obolibrary.org/obo/PR_000004813
Brg1	http://purl.obolibrary.org/obo/PR_000029763
c-Fos	http://purl.obolibrary.org/obo/PR_000007597
c-Jun	http://purl.obolibrary.org/obo/PR_000009232
c-Myc	http://purl.obolibrary.org/obo/PR_000000084
CBX3	http://purl.obolibrary.org/obo/PR_000005084
CCNT2	http://purl.obolibrary.org/obo/PR_000005140
CDP	http://purl.obolibrary.org/obo/PR_000029308
CEBPB	http://purl.obolibrary.org/obo/PR_000005308
CEBPD	http://purl.obolibrary.org/obo/PR_000005309
CEBPZ	http://purl.obolibrary.org/obo/PR_000005312
CHD1	http://purl.obolibrary.org/obo/PR_000005406
CHD2	http://purl.obolibrary.org/obo/PR_000005408
COREST	http://purl.obolibrary.org/obo/PR_000013841
CREB1	http://purl.obolibrary.org/obo/PR_000005854
CtBP2	http://purl.obolibrary.org/obo/PR_000005995
CTCF	http://purl.obolibrary.org/obo/PR_000005997
CTCFL	http://purl.obolibrary.org/obo/PR_000005998
E2F1	http://purl.obolibrary.org/obo/PR_000006852
E2F4	http://purl.obolibrary.org/obo/PR_000006855
E2F6	http://purl.obolibrary.org/obo/PR_000006857
EBF1	http://purl.obolibrary.org/obo/PR_000001942
Egr-1	http://purl.obolibrary.org/obo/PR_000006937
ELF1	http://purl.obolibrary.org/obo/PR_000007020
ELK1	http://purl.obolibrary.org/obo/PR_000007025
ELK4	http://purl.obolibrary.org/obo/PR_000007027
ERalpha_a	http://purl.obolibrary.org/obo/PR_000027727
ERRA	http://purl.obolibrary.org/obo/PR_000007208
ETS1	http://purl.obolibrary.org/obo/PR_000007221
FOSL1	http://purl.obolibrary.org/obo/PR_000007599
FOSL2	http://purl.obolibrary.org/obo/PR_000007600
FOXA1	http://purl.obolibrary.org/obo/PR_000007602
FOXA2	http://purl.obolibrary.org/obo/PR_000007603
FOXM1	http://purl.obolibrary.org/obo/PR_000007635
FOXP2	http://purl.obolibrary.org/obo/PR_000007644
GABP	http://purl.obolibrary.org/obo/PR_000007764
GATA-1	http://purl.obolibrary.org/obo/PR_000007857
GATA-2	http://purl.obolibrary.org/obo/PR_000007858
GATA1	http://purl.obolibrary.org/obo/PR_000007857
GATA2	http://purl.obolibrary.org/obo/PR_000007858
GATA3	http://purl.obolibrary.org/obo/PR_000001941
GCN5	http://purl.obolibrary.org/obo/PR_000007902
GR	http://purl.obolibrary.org/obo/PR_000011406
GRp20	http://purl.obolibrary.org/obo/EGO_0000000118
GTF2B	http://purl.obolibrary.org/obo/PR_000008313
GTF2F1	http://purl.obolibrary.org/obo/PR_000008315
HA-E2F1 (E2F1)	http://purl.obolibrary.org/obo/PR_000006852
