Cell    mapped CLO terms
A549	http://purl.obolibrary.org/obo/CLO_0001601
ECC-1	http://purl.obolibrary.org/obo/CLO_0037231
GM08714	http://purl.obolibrary.org/obo/CLO_0010422
GM10847	http://purl.obolibrary.org/obo/CLO_0023758
GM12878	http://purl.obolibrary.org/obo/CLO_0022851
GM12891	http://purl.obolibrary.org/obo/CLO_0022859
GM12892	http://purl.obolibrary.org/obo/CLO_0022856
GM15510	http://purl.obolibrary.org/obo/CLO_0028068
GM18505	http://purl.obolibrary.org/obo/CLO_0024913
GM18526	http://purl.obolibrary.org/obo/CLO_0024847
GM18951	http://purl.obolibrary.org/obo/CLO_0026303
GM19099	http://purl.obolibrary.org/obo/CLO_0025875
GM19193	http://purl.obolibrary.org/obo/CLO_0027332
H1-hESC	http://purl.obolibrary.org/obo/CLO_0037281
H1-neurons	http://purl.obolibrary.org/obo/CLO_0037299
HCT-116	http://purl.obolibrary.org/obo/CLO_0003665
HEK293	http://purl.obolibrary.org/obo/CLO_0001230
HEK293-T-REx	http://purl.obolibrary.org/obo/CLO_0037238
HeLa-S3	http://purl.obolibrary.org/obo/CLO_0003699
HepG2	http://purl.obolibrary.org/obo/CLO_0003704
HL-60	http://purl.obolibrary.org/obo/CLO_0003775
HUVEC	http://purl.obolibrary.org/obo/CLO_0004307
IMR90	http://purl.obolibrary.org/obo/CLO_0006951
K562	http://purl.obolibrary.org/obo/CLO_0050126
MCF-7	http://purl.obolibrary.org/obo/CLO_0007606
MCF1A-Er-Src	http://purl.obolibrary.org/obo/CLO_0037240
NB4	http://purl.obolibrary.org/obo/CLO_0007947
NT2-D1	http://purl.obolibrary.org/obo/CLO_0008207
PANC-1	http://purl.obolibrary.org/obo/CLO_0008381
PBDE	http://purl.obolibrary.org/obo/CLO_0037277
PBDEFetal	http://purl.obolibrary.org/obo/CLO_0037278
PFSK-1	http://purl.obolibrary.org/obo/CLO_0008425
Raji	http://purl.obolibrary.org/obo/CLO_0008734
SH-SY5Y	http://purl.obolibrary.org/obo/CLO_0009015
SK-N-MC	http://purl.obolibrary.org/obo/CLO_0009058
SK-N-SH	http://purl.obolibrary.org/obo/CLO_0009059
SK-N-SH_RA	http://purl.obolibrary.org/obo/CLO_0037234
T-47D	http://purl.obolibrary.org/obo/CLO_0009251
U2OS	http://purl.obolibrary.org/obo/CLO_0009454
U87	http://purl.obolibrary.org/obo/CLO_0009464
